0,3200,0,0,0,1400,0,0,0,2100,0,0,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
100,19400,100,99,100,953600,100,9207,100,1063500,100,9900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
200,18400,200,199,200,3787700,200,37412,200,2227500,200,39800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
300,30100,300,299,300,2470800,300,84916,300,862000,300,89700,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
400,37400,400,399,400,1250900,400,151620,400,521100,400,159600,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
500,1800,500,499,500,1206200,500,230538,500,765700,500,249500,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
600,1900,600,599,600,1377500,600,329450,600,1057700,600,359400,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
700,2200,700,699,700,1852700,700,452952,700,1461200,700,489300,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
800,2500,800,799,800,2446000,800,608838,800,2087900,800,639200,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
900,3500,900,899,900,4920000,900,793817,900,3281700,900,809100,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1000,4300,1000,999,1000,4585300,1000,980019,1000,3539800,1000,999000,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1100,5100,1100,1099,1100,6150000,1100,1192415,1100,3995800,1100,1208900,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1200,4700,1200,1199,1200,6401000,1200,1353671,1200,5021900,1200,1438800,Bubble Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
