0,2900,0,2,0,1500,0,2,0,2900,0,2,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
100,20800,100,2,100,669200,100,88,100,670900,100,102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
200,17600,200,2,200,1821200,200,188,200,2390500,200,202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
300,29100,300,2,300,2788600,300,290,300,1012100,300,302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
400,9900,400,2,400,1784900,400,396,400,3166100,400,402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
500,16200,500,2,500,1043600,500,490,500,1363600,500,502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
600,4900,600,2,600,1123900,600,596,600,1056100,600,602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
700,2900,700,2,700,1473200,700,684,700,1427500,700,702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
800,3600,800,2,800,2085000,800,750,800,2008600,800,802,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
900,4000,900,2,900,2501600,900,882,900,2535700,900,902,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1000,5600,1000,2,1000,3163800,1000,992,1000,3100100,1000,1002,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1100,7400,1100,2,1100,3798600,1100,1060,1100,3722900,1100,1102,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1200,9200,1200,2,1200,4498500,1200,1174,1200,4439500,1200,1202,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1300,10800,1300,2,1300,6042900,1300,1268,1300,5217300,1300,1302,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1400,13000,1400,2,1400,7926700,1400,1364,1400,11675400,1400,1402,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1500,38400,1500,2,1500,23707700,1500,1454,1500,8265000,1500,1502,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1600,17100,1600,2,1600,16268200,1600,1578,1600,9707700,1600,1602,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
1700,18700,1700,2,1700,17209400,1700,1674,1700,12631800,1700,1702,transposition Sort Time(already sorted), numComparisons sorted, time shuffled, numComparisons shuffled, time reversed, numComparisons reversed
